Player,Nation,Squad,Pos,Age,Min,Value
Aaron Ramsdale,ENG,Southampton,GK,26-360,2430.0,€18.7M
Aaron Wan-Bissaka,ENG,West Ham,DF,27-164,2884.0,€26.9M
Abdoulaye Doucouré,MLI,Everton,MF,32-128,2425.0,€5.8M
Adam Smith,ENG,Bournemouth,DF,34-010,1409.0,€1.5M
Adam Wharton,ENG,Crystal Palace,MF,20-341,1318.0,€48.9M
Adama Traoré,ESP,Fulham,"FW,MF",29-104,1592.0,€8M
Alejandro Garnacho,ARG,Manchester Utd,"MF,FW",20-312,2146.0,€60.7M
Alex Iwobi,NGA,Fulham,"FW,MF",29-006,2796.0,€30.3M
Alex Palmer,ENG,Ipswich Town,GK,28-272,990.0,€1.6M
Alexander Isak,SWE,Newcastle Utd,FW,25-230,2577.0,€120.3M
Alexis Mac Allister,ARG,Liverpool,MF,26-136,2575.0,€106.1M
Alisson,BRA,Liverpool,GK,32-219,2238.0,€24.1M
Alphonse Areola,FRA,West Ham,GK,32-071,2080.0,€11.8M
Amad Diallo,CIV,Manchester Utd,"FW,MF",22-302,1639.0,€48.5M
Amadou Onana,BEL,Aston Villa,MF,23-266,1378.0,€62.1M
Andreas Pereira,BRA,Fulham,MF,29-128,1879.0,€19M
Andrew Robertson,SCO,Liverpool,DF,31-059,2308.0,€24M
André,BRA,Wolves,MF,23-297,2249.0,€29.8M
André Onana,CMR,Manchester Utd,GK,29-037,2970.0,€34.2M
Anthony Elanga,SWE,Nott'ham Forest,"FW,MF",23-012,2232.0,€45.5M
Anthony Gordon,ENG,Newcastle Utd,FW,24-074,2235.0,€49.5M
Antoine Semenyo,GHA,Bournemouth,FW,25-122,2933.0,€47.7M
Antonee Robinson,USA,Fulham,DF,27-274,2989.0,€46.4M
Archie Gray,ENG,Tottenham,"DF,MF",19-058,1481.0,€58.2M
Arijanet Muric,KVX,Ipswich Town,GK,26-183,1620.0,€10.1M
Ashley Young,ENG,Everton,"DF,FW",39-304,1622.0,€1.3M
Axel Tuanzebe,COD,Ipswich Town,DF,27-176,1446.0,€4.2M
Bart Verbruggen,NED,Brighton,GK,22-264,2970.0,€30.7M
Ben Davies,WAL,Tottenham,DF,32-015,1126.0,€5.6M
Ben Johnson,ENG,Ipswich Town,"DF,FW",25-105,1348.0,€12.6M
Ben White,ENG,Arsenal,DF,27-213,941.0,€58.8M
Bernardo Silva,POR,Manchester City,"MF,FW",30-272,2401.0,€50M
Bernd Leno,GER,Fulham,GK,33-066,3150.0,€13.7M
Beto,GNB,Everton,FW,27-098,1268.0,€24.4M
Bilal El Khannouss,MAR,Leicester City,MF,20-364,2003.0,€40.6M
Boubacar Kamara,FRA,Aston Villa,MF,25-167,1463.0,€46.3M
Boubakary Soumaré,FRA,Leicester City,MF,26-071,1960.0,€15.4M
Brennan Johnson,WAL,Tottenham,FW,23-351,2083.0,€71.3M
Bruno Fernandes,POR,Manchester Utd,MF,30-243,2758.0,€54.8M
Bruno Guimarães,BRA,Newcastle Utd,MF,27-174,3002.0,€83.2M
Bryan Mbeumo,CMR,Brentford,FW,25-275,3144.0,€57.2M
Bukayo Saka,ENG,Arsenal,"FW,MF",23-246,1539.0,€101.3M
Caleb Okoli,ITA,Leicester City,DF,23-300,1124.0,€16.7M
Callum Hudson-Odoi,ENG,Nott'ham Forest,"FW,MF",24-183,2152.0,€30.2M
Calvin Bassey,NGA,Fulham,DF,25-129,2894.0,€29.9M
Cameron Archer,ENG,Southampton,FW,23-292,1373.0,€18.6M
Cameron Burgess,AUS,Ipswich Town,DF,29-200,1451.0,€1.7M
Carlos Baleba,CMR,Brighton,MF,21-126,2403.0,€52.4M
Carlos Soler,ESP,West Ham,"MF,FW",28-127,1358.0,€23.4M
Casemiro,BRA,Manchester Utd,MF,33-075,1335.0,€11.6M
Chris Richards,USA,Crystal Palace,DF,25-042,1652.0,€15.7M
Chris Wood,NZL,Nott'ham Forest,FW,33-153,2689.0,€7.8M
Christian Eriksen,DEN,Manchester Utd,MF,33-084,1028.0,€4.2M
Christian Nørgaard,DEN,Brentford,MF,31-060,2549.0,€14.4M
Christopher Nkunku,FRA,Chelsea,FW,27-176,921.0,€51.7M
Cody Gakpo,NED,Liverpool,FW,26-002,1717.0,€67.5M
Cole Palmer,ENG,Chelsea,MF,23-003,2921.0,€115.4M
Conor Coady,ENG,Leicester City,DF,32-073,1444.0,€2.2M
Craig Dawson,ENG,Wolves,DF,35-003,971.0,€1.5M
Cristian Romero,ARG,Tottenham,DF,27-012,1416.0,€60.1M
Curtis Jones,ENG,Liverpool,"MF,DF",24-099,1528.0,€61.7M
Daichi Kamada,JPN,Crystal Palace,MF,28-277,1424.0,€14.6M
Dan Burn,ENG,Newcastle Utd,DF,33-000,3060.0,€9.1M
Dango Ouattara,BFA,Bournemouth,FW,23-087,2005.0,€28.5M
Daniel Muñoz,COL,Crystal Palace,DF,28-348,2958.0,€30.9M
Danny Welbeck,ENG,Brighton,FW,34-164,1942.0,€6M
Dara O'Shea,IRL,Ipswich Town,DF,26-066,2852.0,€19.5M
Darwin Núñez,URU,Liverpool,FW,25-319,1051.0,€60.9M
David Raya,ESP,Arsenal,GK,29-236,3150.0,€28.9M
Dean Henderson,ENG,Crystal Palace,GK,28-058,3150.0,€22.7M
Dean Huijsen,ESP,Bournemouth,DF,20-025,2234.0,€55M
Declan Rice,ENG,Arsenal,MF,26-115,2645.0,€107.8M
Dejan Kulusevski,SWE,Tottenham,"MF,FW",25-014,2371.0,€60.5M
Destiny Udogie,ITA,Tottenham,DF,22-162,1834.0,€59.4M
Diogo Dalot,POR,Manchester Utd,DF,26-052,2788.0,€37.4M
Diogo Jota,POR,Liverpool,FW,28-156,1154.0,€58.6M
Djed Spence,ENG,Tottenham,DF,24-273,1604.0,€19.8M
Dominic Calvert-Lewin,ENG,Everton,FW,28-054,1588.0,€17.8M
Dominic Solanke,ENG,Tottenham,FW,27-237,2119.0,€52.1M
