,Squad,Median of Age,Mean of Age,Std of Age,Median of MP,Mean of MP,Std of MP,Median of Starts,Mean of Starts,Std of Starts,Median of Min,Mean of Min,Std of Min,Median of Gls,Mean of Gls,Std of Gls,Median of Ast,Mean of Ast,Std of Ast,Median of CrdY,Mean of CrdY,Std of CrdY,Median of CrdR,Mean of CrdR,Std of CrdR,Median of xG,Mean of xG,Std of xG,Median of xAG,Mean of xAG,Std of xAG,Median of PrgC,Mean of PrgC,Std of PrgC,Median of PrgP,Mean of PrgP,Std of PrgP,Median of PrgR,Mean of PrgR,Std of PrgR,Median of Gls.1,Mean of Gls.1,Std of Gls.1,Median of Ast.1,Mean of Ast.1,Std of Ast.1,Median of xG.1,Mean of xG.1,Std of xG.1,Median of xAG.1,Mean of xAG.1,Std of xAG.1,Median of stats_keeper_GA90,Mean of stats_keeper_GA90,Std of stats_keeper_GA90,Median of stats_keeper_Save%,Mean of stats_keeper_Save%,Std of stats_keeper_Save%,Median of stats_keeper_CS%,Mean of stats_keeper_CS%,Std of stats_keeper_CS%,Median of stats_keeper_Save%.1,Mean of stats_keeper_Save%.1,Std of stats_keeper_Save%.1,Median of stats_shooting_SoT%,Mean of stats_shooting_SoT%,Std of stats_shooting_SoT%,Median of stats_shooting_SoT/90,Mean of stats_shooting_SoT/90,Std of stats_shooting_SoT/90,Median of stats_shooting_G/Sh,Mean of stats_shooting_G/Sh,Std of stats_shooting_G/Sh,Median of stats_shooting_Dist,Mean of stats_shooting_Dist,Std of stats_shooting_Dist,Median of stats_passing_Cmp,Mean of stats_passing_Cmp,Std of stats_passing_Cmp,Median of stats_passing_Cmp%,Mean of stats_passing_Cmp%,Std of stats_passing_Cmp%,Median of stats_passing_TotDist,Mean of stats_passing_TotDist,Std of stats_passing_TotDist,Median of stats_passing_Cmp%.1,Mean of stats_passing_Cmp%.1,Std of stats_passing_Cmp%.1,Median of stats_passing_Cmp%.2,Mean of stats_passing_Cmp%.2,Std of stats_passing_Cmp%.2,Median of stats_passing_Cmp%.3,Mean of stats_passing_Cmp%.3,Std of stats_passing_Cmp%.3,Median of stats_passing_KP,Mean of stats_passing_KP,Std of stats_passing_KP,Median of stats_passing_1/3,Mean of stats_passing_1/3,Std of stats_passing_1/3,Median of stats_passing_PPA,Mean of stats_passing_PPA,Std of stats_passing_PPA,Median of stats_passing_CrsPA,Mean of stats_passing_CrsPA,Std of stats_passing_CrsPA,Median of stats_passing_PrgP,Mean of stats_passing_PrgP,Std of stats_passing_PrgP,Median of stats_gca_SCA,Mean of stats_gca_SCA,Std of stats_gca_SCA,Median of stats_gca_SCA90,Mean of stats_gca_SCA90,Std of stats_gca_SCA90,Median of stats_gca_GCA,Mean of stats_gca_GCA,Std of stats_gca_GCA,Median of stats_gca_GCA90,Mean of stats_gca_GCA90,Std of stats_gca_GCA90,Median of stats_defense_Tkl,Mean of stats_defense_Tkl,Std of stats_defense_Tkl,Median of stats_defense_TklW,Mean of stats_defense_TklW,Std of stats_defense_TklW,Median of stats_defense_Att,Mean of stats_defense_Att,Std of stats_defense_Att,Median of stats_defense_Lost,Mean of stats_defense_Lost,Std of stats_defense_Lost,Median of stats_defense_Blocks,Mean of stats_defense_Blocks,Std of stats_defense_Blocks,Median of stats_defense_Sh,Mean of stats_defense_Sh,Std of stats_defense_Sh,Median of stats_defense_Pass,Mean of stats_defense_Pass,Std of stats_defense_Pass,Median of stats_defense_Int,Mean of stats_defense_Int,Std of stats_defense_Int,Median of stats_possession_Touches,Mean of stats_possession_Touches,Std of stats_possession_Touches,Median of stats_possession_Def Pen,Mean of stats_possession_Def Pen,Std of stats_possession_Def Pen,Median of stats_possession_Def 3rd,Mean of stats_possession_Def 3rd,Std of stats_possession_Def 3rd,Median of stats_possession_Mid 3rd,Mean of stats_possession_Mid 3rd,Std of stats_possession_Mid 3rd,Median of stats_possession_Att 3rd,Mean of stats_possession_Att 3rd,Std of stats_possession_Att 3rd,Median of stats_possession_Att Pen,Mean of stats_possession_Att Pen,Std of stats_possession_Att Pen,Median of stats_possession_Att,Mean of stats_possession_Att,Std of stats_possession_Att,Median of stats_possession_Succ%,Mean of stats_possession_Succ%,Std of stats_possession_Succ%,Median of stats_possession_Tkld%,Mean of stats_possession_Tkld%,Std of stats_possession_Tkld%,Median of stats_possession_Carries,Mean of stats_possession_Carries,Std of stats_possession_Carries,Median of stats_possession_PrgDist,Mean of stats_possession_PrgDist,Std of stats_possession_PrgDist,Median of stats_possession_PrgC,Mean of stats_possession_PrgC,Std of stats_possession_PrgC,Median of stats_possession_1/3,Mean of stats_possession_1/3,Std of stats_possession_1/3,Median of stats_possession_CPA,Mean of stats_possession_CPA,Std of stats_possession_CPA,Median of stats_possession_Mis,Mean of stats_possession_Mis,Std of stats_possession_Mis,Median of stats_possession_Dis,Mean of stats_possession_Dis,Std of stats_possession_Dis,Median of stats_possession_Rec,Mean of stats_possession_Rec,Std of stats_possession_Rec,Median of stats_possession_PrgR,Mean of stats_possession_PrgR,Std of stats_possession_PrgR,Median of stats_misc_Fls,Mean of stats_misc_Fls,Std of stats_misc_Fls,Median of stats_misc_Fld,Mean of stats_misc_Fld,Std of stats_misc_Fld,Median of stats_misc_Off,Mean of stats_misc_Off,Std of stats_misc_Off,Median of stats_misc_Crs,Mean of stats_misc_Crs,Std of stats_misc_Crs,Median of stats_misc_Recov,Mean of stats_misc_Recov,Std of stats_misc_Recov,Median of stats_misc_Won,Mean of stats_misc_Won,Std of stats_misc_Won,Median of stats_misc_Lost,Mean of stats_misc_Lost,Std of stats_misc_Lost,Median of stats_misc_Won%,Mean of stats_misc_Won%,Std of stats_misc_Won%
0,all,26.58,26.89,4.25,23.0,21.22,9.98,14.0,15.57,10.96,1337.0,1395.87,927.8,1.0,2.03,3.55,1.0,1.51,2.22,2.0,3.0,2.64,0.0,0.09,0.31,0.9,2.05,3.12,0.9,1.52,1.89,15.0,26.4,31.07,37.5,52.09,50.53,25.0,51.44,64.82,0.03,0.12,0.18,0.04,0.09,0.12,0.07,0.13,0.16,0.07,0.1,0.1,1.48,1.69,0.74,68.15,66.3,9.7,17.9,23.53,22.36,0.0,17.85,29.4,30.0,29.55,19.86,0.23,0.4,0.47,0.06,0.08,0.1,16.4,16.74,5.06,456.5,560.7,465.54,80.15,79.24,8.29,7306.0,9638.42,8432.29,89.9,88.74,6.78,85.7,83.98,10.13,53.7,54.25,15.73,8.0,13.8,15.53,29.0,43.74,45.48,6.0,11.76,14.57,1.0,2.81,4.37,37.5,52.09,50.53,21.0,32.29,32.59,1.8,2.07,1.42,2.0,3.52,4.25,0.15,0.21,0.22,17.0,24.9,22.86,10.0,14.89,14.03,17.0,22.7,20.58,8.0,11.15,10.51,12.0,15.47,13.86,2.0,5.23,7.39,8.0,10.24,9.48,7.0,11.32,11.87,738.0,847.79,631.16,31.0,95.7,178.09,159.0,280.63,311.85,279.5,360.89,319.76,142.0,214.63,212.22,20.0,34.99,41.56,14.0,25.78,31.61,45.0,46.55,22.44,43.8,42.35,21.45,401.5,475.11,363.58,1039.5,1318.97,1109.39,15.0,26.4,31.07,13.0,17.76,18.44,2.0,8.22,14.46,13.0,19.26,19.72,8.0,13.33,14.92,483.5,554.96,426.41,25.0,51.44,64.82,12.0,15.68,13.97,10.0,15.2,14.94,1.0,2.41,4.01,9.0,24.83,36.27,45.0,58.87,46.97,10.0,18.39,21.62,13.0,18.36,18.76,50.0,48.74,21.57
1,Arsenal,26.89,26.51,3.82,23.5,23.27,8.07,16.5,17.5,10.4,1478.5,1564.45,902.98,2.0,2.82,2.81,1.5,2.32,2.75,2.5,2.91,1.97,0.0,0.23,0.53,1.65,2.56,2.64,0.9,1.93,2.19,23.0,35.32,32.7,56.5,77.0,62.44,52.0,75.95,77.49,0.11,0.16,0.16,0.11,0.14,0.15,0.1,0.15,0.14,0.09,0.12,0.12,0.89,0.89,,74.1,74.1,,34.3,34.3,,0.0,0.0,,30.9,27.86,16.68,0.22,0.41,0.41,0.14,0.14,0.13,15.0,14.64,4.97,468.5,717.68,560.34,82.95,82.32,6.27,7398.0,11757.95,9938.89,91.75,90.89,4.67,86.3,84.95,7.86,53.35,55.32,9.76,10.0,17.5,17.78,40.5,58.09,52.92,9.0,18.27,18.49,1.5,3.0,3.63,56.5,77.0,62.44,25.0,39.86,34.14,2.24,2.45,1.4,3.0,5.0,5.6,0.24,0.29,0.3,19.5,24.64,20.73,12.0,14.68,12.64,21.0,21.36,14.86,11.0,10.64,7.58,10.0,13.68,11.17,1.5,4.41,6.84,7.5,9.27,7.89,6.0,9.64,8.87,771.5,1008.95,673.68,25.0,75.82,170.01,125.0,254.45,337.03,296.0,439.0,390.89,225.0,323.09,237.02,38.5,53.77,50.36,23.5,30.59,29.15,44.65,49.27,22.44,36.4,37.4,18.06,427.0,593.27,410.16,1358.0,1677.64,1143.7,23.0,35.32,32.7,19.5,21.95,18.37,4.5,12.14,15.46,15.5,20.14,15.94,13.5,15.86,13.52,552.0,710.86,492.2,52.0,75.95,77.49,14.0,16.95,11.27,17.0,17.05,12.4,2.0,3.55,3.69,11.0,32.18,42.69,49.5,59.68,41.37,10.5,19.91,19.79,15.5,19.36,17.65,51.15,47.83,19.01
2,Aston Villa,27.64,27.15,4.04,20.5,19.43,10.33,9.5,13.75,11.66,1004.0,1235.36,943.18,1.0,1.89,3.29,0.0,1.5,2.4,2.0,2.43,2.25,0.0,0.07,0.26,0.8,1.95,2.97,0.45,1.43,2.01,16.5,23.79,23.66,34.0,44.18,48.2,21.0,43.75,52.0,0.04,0.17,0.28,0.0,0.09,0.11,0.08,0.19,0.25,0.05,0.09,0.1,1.68,1.68,0.45,61.15,61.15,7.85,58.8,58.8,58.27,50.0,50.0,,27.8,29.02,21.7,0.2,0.46,0.68,0.06,0.07,0.08,16.7,16.89,4.49,402.5,491.0,427.64,81.95,81.24,7.19,5738.0,8421.57,7968.75,91.45,90.07,5.5,86.45,86.44,7.73,53.9,54.49,15.36,6.5,12.11,14.94,23.5,38.0,46.91,7.5,10.5,12.67,0.0,1.86,3.7,34.0,44.18,48.2,20.0,28.64,29.93,1.82,2.11,1.38,2.0,3.43,3.88,0.18,0.23,0.21,10.5,21.39,20.55,6.0,12.32,12.52,10.5,18.21,19.03,5.5,7.96,8.23,10.0,10.86,9.15,2.5,3.61,4.31,5.5,7.25,6.37,5.0,8.07,8.38,655.0,721.46,574.6,30.0,86.96,191.62,133.0,242.96,300.24,244.0,308.71,300.82,117.5,176.96,169.99,20.5,31.54,37.6,17.0,24.29,30.1,47.4,50.06,24.83,40.0,38.9,22.87,397.0,408.29,318.51,1086.5,1180.82,939.99,16.5,23.79,23.66,12.5,14.75,13.11,2.0,7.18,10.58,9.0,16.79,21.64,8.0,12.89,15.32,483.5,482.04,387.34,21.0,43.75,52.0,8.5,13.54,13.55,9.0,16.39,17.85,1.0,1.82,2.87,4.5,19.96,34.24,37.5,46.75,36.9,8.0,12.43,12.18,9.5,13.86,13.9,50.0,40.37,23.99
3,Bournemouth,26.01,26.48,3.84,26.0,22.22,10.18,17.0,16.7,11.63,1670.0,1494.61,1004.39,1.0,2.35,3.59,1.0,1.7,2.05,3.0,3.87,3.08,0.0,0.09,0.29,1.1,2.68,3.58,1.1,1.81,1.87,19.0,29.87,34.65,43.0,58.48,52.05,31.0,57.65,71.61,0.03,0.14,0.18,0.04,0.1,0.11,0.08,0.18,0.2,0.1,0.13,0.15,1.0,1.08,0.14,80.0,80.0,4.6,20.0,15.0,13.23,0.0,0.0,,29.7,25.02,16.67,0.15,0.54,0.65,0.06,0.06,0.06,16.45,15.81,4.38,436.0,504.78,408.76,74.3,73.93,6.58,7088.0,9147.96,7897.39,88.0,86.84,7.09,78.3,81.62,10.8,47.8,46.66,17.89,11.0,17.78,16.56,37.0,48.22,47.73,7.0,13.22,13.87,2.0,4.04,5.53,43.0,58.48,52.05,28.0,40.78,36.35,2.35,2.57,1.87,2.0,3.96,4.19,0.21,0.23,0.21,21.0,27.96,23.43,10.0,16.13,14.51,25.0,25.61,21.31,13.0,13.57,10.71,16.0,18.83,16.69,3.0,5.74,7.26,8.0,13.09,12.64,10.0,14.39,15.62,783.0,852.48,626.55,44.0,90.26,153.47,159.0,257.3,280.45,316.0,365.96,322.88,133.0,239.74,238.2,19.0,39.52,48.08,16.0,27.09,32.49,41.15,43.23,19.23,45.1,42.83,19.17,483.0,458.35,342.5,1183.0,1442.09,1300.4,19.0,29.87,34.65,17.0,21.09,20.43,1.0,9.09,16.03,18.0,23.52,21.61,8.0,14.09,17.22,435.0,499.7,370.48,31.0,57.65,71.61,16.0,20.52,17.98,10.0,15.61,13.89,0.0,2.74,5.07,10.0,32.96,41.37,59.0,73.22,57.25,20.0,23.17,21.3,22.0,24.61,20.98,47.0,50.18,18.4
4,Brentford,24.85,26.21,3.91,28.0,23.52,11.38,21.0,18.33,13.3,1913.0,1638.1,1122.04,0.0,2.9,5.54,2.0,1.95,2.44,2.0,2.52,1.89,0.0,0.05,0.22,0.8,2.61,4.2,1.2,1.9,2.23,12.0,25.86,32.38,52.0,58.29,54.49,27.0,57.57,77.18,0.0,0.12,0.19,0.09,0.1,0.1,0.06,0.12,0.16,0.08,0.1,0.09,1.38,1.38,0.21,61.55,61.55,16.33,58.8,58.8,58.27,0.0,0.0,,34.8,30.89,17.8,0.17,0.32,0.38,0.05,0.08,0.09,15.3,15.93,4.31,489.0,582.24,445.79,77.3,76.69,7.84,7626.0,10679.14,9438.23,87.7,86.8,7.67,79.9,82.29,9.73,55.0,54.84,13.49,9.0,14.52,17.54,42.0,48.1,40.92,7.0,14.0,18.7,2.0,3.9,5.27,52.0,58.29,54.49,21.0,34.1,35.69,1.72,1.87,1.16,2.0,5.0,5.82,0.2,0.28,0.27,25.0,27.52,22.23,17.0,16.52,12.89,26.0,25.48,20.6,11.0,11.86,10.52,17.0,21.19,19.31,4.0,8.71,12.94,13.0,12.48,10.39,8.0,12.76,12.3,804.0,937.05,669.69,52.0,145.57,290.91,232.0,366.48,421.08,348.0,349.05,279.64,160.0,230.05,234.92,24.0,43.0,47.19,13.0,27.33,33.91,46.5,48.76,19.88,42.1,42.09,16.48,410.0,493.67,361.55,1204.0,1371.57,1143.64,12.0,25.86,32.38,11.0,15.95,18.82,1.0,9.19,17.53,14.0,23.29,26.45,8.0,12.57,13.54,497.0,573.52,410.87,27.0,57.57,77.18,12.0,13.33,10.82,10.0,15.05,14.58,1.0,2.95,4.48,14.0,29.52,45.99,50.0,71.0,55.45,12.0,27.52,31.92,14.0,23.95,23.96,55.5,54.89,19.61
5,Brighton,24.54,26.05,5.17,21.0,19.54,10.04,10.0,13.75,10.13,929.5,1233.82,890.99,1.0,1.96,3.0,1.0,1.32,1.61,2.0,2.68,2.6,0.0,0.11,0.31,0.75,1.91,2.64,1.0,1.32,1.4,18.5,26.36,30.01,40.0,49.79,50.21,27.0,49.46,62.59,0.04,0.12,0.15,0.04,0.09,0.13,0.09,0.13,0.12,0.08,0.1,0.08,1.08,1.08,0.83,69.85,69.85,7.28,34.1,34.1,22.49,0.0,0.0,,29.3,30.57,21.94,0.3,0.45,0.65,0.06,0.08,0.09,16.5,17.46,3.82,343.0,517.21,488.98,80.55,79.33,8.16,4862.0,8798.57,9292.46,90.3,89.53,6.11,82.1,81.26,10.62,52.55,54.05,15.59,9.5,11.89,10.06,23.0,38.64,48.63,7.5,10.93,10.51,1.0,2.86,3.82,40.0,49.79,50.21,24.0,29.96,23.64,2.81,2.47,1.22,3.0,3.54,3.01,0.29,0.3,0.28,16.5,22.64,19.76,10.0,13.82,12.09,18.0,22.86,18.71,9.0,11.71,9.16,12.0,14.43,12.26,2.0,4.0,5.45,9.5,10.43,9.95,8.5,10.36,9.95,644.5,775.75,627.33,23.5,85.68,197.22,121.5,247.39,328.13,229.0,337.5,329.74,149.0,199.46,179.51,17.0,34.57,42.03,12.5,26.68,31.83,43.8,45.53,21.2,46.2,46.42,20.5,377.0,455.5,391.57,1092.0,1366.39,1430.19,18.5,26.36,30.01,16.0,18.57,18.62,3.0,8.5,15.0,10.5,18.89,19.16,7.0,11.5,12.37,417.0,511.25,430.07,27.0,49.46,62.59,11.0,14.61,12.46,8.0,13.68,14.56,1.0,1.46,1.84,10.0,22.54,27.84,40.5,53.07,44.25,12.0,17.25,18.54,11.0,15.68,14.82,53.8,50.06,20.09
6,Chelsea,24.32,24.22,2.38,18.0,19.69,11.26,11.5,14.81,11.79,1046.5,1329.5,1029.05,1.0,2.27,3.65,1.0,1.73,2.25,2.5,3.69,3.2,0.0,0.04,0.2,0.75,2.57,4.21,1.05,1.97,2.48,11.0,31.19,41.1,34.5,57.54,63.0,11.5,56.81,76.26,0.05,0.15,0.2,0.06,0.13,0.18,0.08,0.16,0.18,0.1,0.15,0.17,1.3,1.3,0.28,73.85,73.85,3.46,22.15,22.15,7.71,10.0,10.0,14.14,33.3,29.88,21.68,0.28,0.45,0.49,0.07,0.09,0.12,15.0,15.07,4.56,521.0,648.73,587.29,84.75,84.06,6.44,7782.0,11225.0,10550.48,91.9,91.07,5.7,90.7,88.54,7.3,57.5,57.15,17.98,6.5,16.81,21.85,27.5,53.88,58.51,4.0,12.81,17.12,0.0,2.73,5.49,34.5,57.54,63.0,15.0,38.96,47.75,1.72,2.32,1.68,2.5,4.08,4.71,0.23,0.25,0.24,11.0,20.73,23.88,8.5,13.0,14.77,11.5,19.38,22.6,5.5,9.69,12.11,9.0,12.65,13.84,1.5,3.73,5.63,5.5,8.92,10.07,7.5,9.92,11.47,744.5,902.23,767.08,20.0,85.0,179.56,126.5,271.62,334.7,267.5,407.04,412.56,92.5,231.27,258.92,12.0,40.85,52.01,13.0,27.77,34.05,45.05,45.99,20.57,40.0,39.6,22.11,405.5,522.62,421.21,1016.0,1491.15,1199.77,11.0,31.19,41.1,9.5,17.42,19.23,1.0,11.58,21.69,6.0,16.35,19.89,5.5,10.77,12.05,523.0,643.42,538.66,11.5,56.81,76.26,8.0,15.46,16.15,10.5,15.88,16.91,1.0,2.35,4.63,3.0,23.69,40.6,38.0,55.92,51.4,9.5,14.27,16.58,8.5,13.85,14.69,42.1,46.87,26.27
7,Crystal Palace,27.2,27.18,3.14,30.0,24.05,10.63,19.0,18.24,12.87,1652.0,1633.05,1082.85,0.0,1.9,3.4,1.0,1.52,2.09,2.0,3.62,3.37,0.0,0.19,0.4,1.1,2.55,3.46,1.5,1.91,2.13,11.0,21.71,22.71,47.0,50.14,39.5,11.0,49.62,64.76,0.0,0.09,0.13,0.03,0.06,0.08,0.08,0.14,0.14,0.11,0.1,0.07,1.37,1.37,,67.1,67.1,,28.6,28.6,,50.0,50.0,,31.6,29.24,17.72,0.34,0.49,0.46,0.0,0.06,0.08,17.7,18.12,5.71,541.0,519.19,395.32,75.6,74.08,6.96,8735.0,9320.05,7646.46,84.5,84.29,6.46,81.1,79.82,10.53,46.7,49.96,18.59,9.0,16.14,16.23,27.0,38.71,32.31,4.0,11.95,12.75,1.0,3.05,4.38,47.0,50.14,39.5,27.0,37.67,35.42,2.0,2.21,1.5,3.0,3.62,3.43,0.15,0.17,0.17,21.0,33.14,29.94,14.0,19.62,18.89,23.0,28.33,22.05,15.0,14.14,9.91,19.0,21.05,18.02,3.0,6.14,6.91,13.0,14.9,12.89,11.0,14.24,14.48,871.0,888.33,626.87,30.0,110.67,217.52,181.0,330.52,366.74,377.0,369.24,273.54,146.0,197.1,188.13,18.0,34.43,36.31,12.0,21.29,29.93,40.0,41.88,23.66,45.55,47.97,26.27,430.0,444.76,315.46,1004.0,1094.48,800.98,11.0,21.71,22.71,10.0,15.38,14.12,1.0,5.24,7.51,16.0,21.67,21.05,13.0,14.67,14.37,533.0,514.43,354.96,11.0,49.62,64.76,12.0,18.05,16.2,19.0,17.95,15.87,1.0,3.19,4.92,11.0,26.9,32.74,64.0,72.9,54.04,17.0,22.38,22.37,19.0,28.19,25.86,43.6,41.11,18.51
8,Everton,26.54,27.99,5.03,24.0,22.41,9.29,15.0,17.45,10.65,1357.5,1565.23,904.27,1.0,1.5,2.13,1.0,1.0,1.11,3.0,3.41,2.17,0.0,0.09,0.29,1.1,1.7,2.02,1.05,1.3,1.11,12.0,20.32,20.5,40.0,43.5,35.4,24.0,42.55,40.94,0.04,0.09,0.13,0.04,0.08,0.1,0.05,0.11,0.12,0.06,0.08,0.07,1.23,1.23,,71.1,71.1,,28.6,28.6,,100.0,100.0,,35.7,32.55,23.16,0.24,0.36,0.38,0.05,0.08,0.11,17.3,17.27,5.33,428.5,473.5,339.26,74.15,74.58,7.9,7396.5,8940.73,7796.05,86.45,85.34,7.52,83.2,80.3,12.05,58.3,57.47,14.99,9.5,12.32,9.79,36.5,41.86,34.96,8.0,10.86,10.21,2.0,3.82,5.36,40.0,43.5,35.4,25.5,29.41,19.35,1.76,1.88,1.08,2.0,2.55,2.09,0.11,0.18,0.17,26.0,30.86,28.24,14.5,18.05,17.06,23.5,27.32,22.49,8.5,13.23,11.36,13.0,16.36,14.33,3.0,5.86,9.39,7.5,10.5,8.58,9.5,13.86,13.05,746.5,808.64,510.67,31.0,101.5,217.83,170.0,288.77,360.48,301.5,327.73,235.53,180.5,200.77,144.59,19.0,30.09,26.03,18.0,27.05,29.93,47.2,46.89,18.29,45.0,45.35,18.55,377.5,396.36,246.81,761.5,1053.91,818.48,12.0,20.32,20.5,11.5,15.23,11.54,2.0,5.09,7.1,12.5,21.59,20.3,11.5,16.32,14.26,439.5,468.86,275.29,24.0,42.55,40.94,15.0,18.32,13.57,14.0,15.64,12.6,1.0,3.5,6.31,8.5,28.73,36.72,56.0,63.45,47.04,11.5,25.45,29.29,15.0,23.5,23.65,50.6,48.35,19.11
9,Fulham,28.84,28.83,3.35,27.0,24.5,9.33,17.5,17.45,11.5,1620.5,1568.27,963.24,0.5,2.23,3.26,1.0,1.91,2.56,2.5,3.41,2.99,0.0,0.09,0.29,1.05,2.12,2.68,1.0,1.63,1.88,22.0,32.82,36.19,53.0,65.32,49.52,39.0,64.18,71.84,0.02,0.16,0.24,0.08,0.1,0.12,0.08,0.15,0.15,0.08,0.1,0.08,1.34,1.34,,68.3,68.3,,14.3,14.3,,0.0,0.0,,29.7,29.25,18.72,0.26,0.52,0.57,0.05,0.07,0.09,15.4,16.34,4.27,652.0,678.55,508.42,81.65,80.42,7.95,11199.0,12124.05,9949.95,90.5,88.66,6.54,85.25,84.38,9.08,58.2,59.16,12.97,10.0,16.45,16.95,44.5,56.5,48.66,8.0,13.86,18.9,2.5,4.5,7.21,53.0,65.32,49.52,30.5,38.64,31.63,2.2,2.54,1.74,3.0,4.14,4.27,0.18,0.23,0.2,23.5,28.27,23.01,12.0,17.23,14.42,19.0,23.73,20.6,8.5,11.64,11.24,14.0,15.45,11.21,2.0,4.59,6.3,11.0,10.86,8.05,8.5,12.73,13.72,976.0,1000.64,689.42,26.5,109.05,236.86,155.5,334.95,397.4,388.5,412.14,324.88,209.0,264.14,227.08,32.0,39.05,38.12,18.5,26.82,27.09,43.6,43.44,18.9,41.7,37.47,15.19,533.5,590.05,418.94,1222.5,1603.36,1309.07,22.0,32.82,36.19,18.0,23.27,23.41,4.5,9.23,11.16,14.5,21.23,18.3,8.0,11.55,11.68,632.5,671.68,460.8,39.0,64.18,71.84,15.5,17.95,14.3,15.5,14.95,11.0,1.0,1.86,3.21,15.0,37.91,51.35,61.0,67.73,44.74,15.0,22.32,23.04,19.0,22.27,21.17,47.2,45.91,21.27
